location,year,month,tmax,tmin,tmean
Adelaide,2010,4,24.07,14.26,19.16
Adelaide,2010,5,19.7,10.51,15.11
Adelaide,2010,6,15.82,7.5,11.66
Adelaide,2010,7,15.44,6.82,11.13
Adelaide,2010,8,15.1,7.95,11.52
Adelaide,2010,9,16.91,9.24,13.07
Adelaide,2010,10,21.38,11.69,16.54
Adelaide,2010,11,24.32,14.13,19.23
Adelaide,2010,12,26.7,16.03,21.36
Adelaide,2011,1,30.63,18.31,24.47
Adelaide,2011,2,29.08,18.62,23.85
Adelaide,2011,3,24.6,15.23,19.91
Adelaide,2011,4,22.78,12.34,17.56
Adelaide,2011,5,17.96,9.98,13.97
Adelaide,2011,6,16.5,8.54,12.52
Adelaide,2011,7,15.6,7.9,11.75
Adelaide,2011,8,18.03,9.22,13.62
Adelaide,2011,9,20.78,10.24,15.51
Adelaide,2011,10,22.11,13.03,17.57
Adelaide,2011,11,26.75,14.7,20.72
Adelaide,2011,12,27.92,16.34,22.13
Adelaide,2012,1,31.15,19.15,25.15
Adelaide,2012,2,28.21,17.16,22.69
Adelaide,2012,3,26.17,15.05,20.61
Adelaide,2012,4,24.22,12.56,18.39
Adelaide,2012,5,18.19,9.34,13.77
Adelaide,2012,6,15.26,7.89,11.57
Adelaide,2012,7,15.33,7.83,11.58
Adelaide,2012,8,15.88,7.65,11.77
Adelaide,2012,9,19.81,9.84,14.82
Adelaide,2012,10,23.15,10.74,16.94
Adelaide,2012,11,27.67,15.08,21.38
Adelaide,2012,12,28.33,16.0,22.16
Adelaide,2013,1,30.42,16.67,23.55
Adelaide,2013,2,30.81,18.16,24.48
Adelaide,2013,3,28.43,18.09,23.26
Adelaide,2013,4,23.77,13.33,18.55
Adelaide,2013,5,20.64,12.25,16.45
Adelaide,2013,6,16.45,8.6,12.52
Adelaide,2013,7,16.22,9.13,12.67
Adelaide,2013,8,17.19,9.14,13.16
Adelaide,2013,9,22.28,12.69,17.48
Adelaide,2013,10,22.35,11.29,16.82
Adelaide,2013,11,25.14,13.08,19.11
Adelaide,2013,12,28.54,15.55,22.04
Adelaide,2014,1,32.46,18.59,25.52
Adelaide,2014,2,29.79,17.81,23.8
Adelaide,2014,3,27.35,15.2,21.27
Adelaide,2014,4,22.94,13.38,18.16
Adelaide,2014,5,20.61,12.24,16.42
Adelaide,2014,6,16.33,9.35,12.84
Adelaide,2014,7,15.34,8.16,11.75
Adelaide,2014,8,17.41,6.76,12.09
Adelaide,2014,9,20.91,10.78,15.85
Adelaide,2014,10,25.97,12.15,19.06
Adelaide,2014,11,26.7,14.57,20.64
Adelaide,2014,12,26.97,15.41,21.19
Adelaide,2015,1,28.7,17.5,23.1
Adelaide,2015,2,32.67,18.07,25.37
Adelaide,2015,3,25.49,14.52,20.0
Adelaide,2015,4,20.52,11.05,15.78
Adelaide,2015,5,18.49,9.98,14.24
Adelaide,2015,6,16.15,8.15,12.15
Adelaide,2015,7,14.69,6.73,10.71
Adelaide,2015,8,15.77,8.21,11.99
Adelaide,2015,9,19.2,8.98,14.09
Adelaide,2015,10,27.09,14.02,20.55
Adelaide,2015,11,27.47,14.45,20.96
Adelaide,2015,12,32.47,18.1,25.29
Adelaide,2016,1,31.19,18.14,24.66
Adelaide,2016,2,29.29,16.37,22.83
Adelaide,2016,3,28.64,16.82,22.73
Adelaide,2016,4,24.83,12.59,18.71
Adelaide,2016,5,19.79,12.39,16.09
Adelaide,2016,6,16.04,8.89,12.47
Adelaide,2016,7,15.28,8.11,11.7
Adelaide,2016,8,17.66,7.74,12.7
Adelaide,2016,9,17.42,9.06,13.24
Adelaide,2016,10,20.99,10.59,15.79
Adelaide,2016,11,24.71,12.12,18.41
Adelaide,2016,12,28.66,15.39,22.03
Adelaide,2017,1,,,
Adelaide,2017,2,,,
Adelaide,2017,3,,,
Adelaide,2017,4,,,
Adelaide,2017,5,19.57,10.19,14.88
Adelaide,2017,6,16.89,6.43,11.66
Adelaide,2017,7,16.32,8.79,12.55
Adelaide,2017,8,15.88,8.46,12.17
Adelaide,2017,9,19.06,10.78,14.92
Adelaide,2017,10,23.68,12.06,17.87
Adelaide,2017,11,27.53,16.61,22.07
Adelaide,2017,12,27.04,15.59,21.31
Adelaide,2018,1,31.55,18.13,24.84
Adelaide,2018,2,29.9,18.27,24.09
Adelaide,2018,3,27.16,15.83,21.5
Adelaide,2018,4,26.16,14.7,20.43
Adelaide,2018,5,18.59,11.48,15.04
Adelaide,2018,6,15.82,7.61,11.72
Adelaide,2018,7,16.12,8.78,12.45
Adelaide,2018,8,16.96,9.54,13.25
Adelaide,2018,9,18.56,8.25,13.41
Adelaide,2018,10,23.7,12.24,17.97
Adelaide,2018,11,23.95,12.95,18.45
Adelaide,2018,12,30.05,16.52,23.28
Adelaide,2019,1,33.05,18.11,25.58
Adelaide,2019,2,29.49,16.82,23.16
Adelaide,2019,3,26.56,15.64,21.1
Adelaide,2019,4,24.34,14.08,19.21
Adelaide,2019,5,18.65,10.78,14.71
Adelaide,2019,6,16.0,8.22,12.11
Adelaide,2019,7,16.11,9.4,12.75
Adelaide,2019,8,15.45,7.71,11.58
Adelaide,2019,9,19.11,8.95,14.03
Adelaide,2019,10,23.83,12.29,18.06
Adelaide,2019,11,23.3,12.42,17.86
Adelaide,2019,12,30.63,16.77,23.7
Adelaide,2020,1,28.71,16.5,22.61
Adelaide,2020,2,26.4,16.33,21.37
Adelaide,2020,3,25.58,15.14,20.36
Adelaide,2020,4,21.42,12.77,17.1
Adelaide,2020,5,17.53,9.66,13.6
Adelaide,2020,6,15.85,7.57,11.71
Adelaide,2020,7,15.32,6.65,10.99
Adelaide,2020,8,16.02,8.31,12.16
Adelaide,2020,9,20.51,11.32,15.91
Adelaide,2020,10,21.95,11.99,16.97
Adelaide,2020,11,28.8,14.99,21.89
Adelaide,2020,12,26.28,14.39,20.34
Adelaide,2021,1,28.94,16.71,22.82
Adelaide,2021,2,27.11,15.97,21.54
Adelaide,2021,3,25.98,14.41,20.2
Adelaide,2021,4,23.09,11.67,17.38
Adelaide,2021,5,19.57,10.71,15.14
